"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","87,711.0","88,556.0","89,207.0","87,330.0","0.72K","-0.95%"
"30/12/2025","88,556.0","87,240.0","89,430.0","86,830.0","1.28K","1.51%"
"29/12/2025","87,241.0","87,987.0","90,387.0","86,865.0","1.43K","-0.84%"
"28/12/2025","87,976.0","87,945.0","88,096.0","87,530.0","0.31K","0.04%"
"27/12/2025","87,945.0","87,465.0","88,035.0","87,336.0","0.26K","0.55%"
"26/12/2025","87,465.0","87,285.0","89,556.0","86,704.0","1.39K","0.21%"
"25/12/2025","87,279.0","87,692.0","88,575.0","87,000.0","0.42K","-0.47%"
"24/12/2025","87,692.0","87,493.0","88,060.0","86,495.0","1.00K","0.20%"
"23/12/2025","87,514.0","88,622.0","88,982.0","86,720.0","1.29K","-1.23%"
"22/12/2025","88,607.0","88,715.0","90,485.0","87,982.0","1.46K","-0.12%"
"21/12/2025","88,715.0","88,463.0","89,153.0","87,739.0","0.62K","0.28%"
"20/12/2025","88,463.0","88,241.0","88,690.0","87,981.0","0.45K","0.25%"
"19/12/2025","88,241.0","85,665.0","89,458.0","85,275.0","1.64K","3.00%"
"18/12/2025","85,670.0","86,409.0","89,443.0","84,604.0","2.22K","-0.86%"
"17/12/2025","86,409.0","87,950.0","90,427.0","85,438.0","1.97K","-1.75%"
"16/12/2025","87,950.0","86,535.0","88,262.0","85,407.0","0.45K","1.64%"
"15/12/2025","86,535.0","88,181.0","90,010.0","85,304.0","0.86K","-1.87%"
"14/12/2025","88,181.0","90,321.0","90,530.0","87,679.0","0.32K","-2.38%"
"13/12/2025","90,327.0","90,325.0","90,671.0","89,887.0","0.05K","0.03%"
"12/12/2025","90,302.0","92,514.0","92,750.0","89,591.0","0.32K","-2.39%"
"11/12/2025","92,514.0","92,023.0","93,519.0","89,301.0","0.74K","0.53%"
"10/12/2025","92,023.0","92,760.0","94,458.0","91,632.0","0.60K","-0.79%"
"09/12/2025","92,760.0","90,668.0","94,638.0","89,626.0","0.99K","2.31%"
"08/12/2025","90,668.0","90,500.0","92,267.0","89,701.0","0.51K","0.19%"
"07/12/2025","90,500.0","89,273.0","91,754.0","87,878.0","0.65K","1.37%"
"06/12/2025","89,276.0","89,379.0","90,263.0","89,000.0","0.15K","-0.13%"
"05/12/2025","89,390.0","92,135.0","92,738.0","88,197.0","0.45K","-2.98%"
"04/12/2025","92,135.0","93,457.0","94,100.0","91,000.0","0.51K","-1.41%"
"03/12/2025","93,457.0","91,380.0","94,080.0","91,075.0","0.96K","2.27%"
"02/12/2025","91,381.0","86,473.0","92,331.0","86,333.0","0.99K","5.68%"
"01/12/2025","86,473.0","90,413.0","90,452.0","84,007.0","1.94K","-4.36%"
"30/11/2025","90,413.0","90,934.0","92,000.0","90,413.0","0.16K","-0.57%"
"29/11/2025","90,934.0","91,023.0","91,250.0","90,323.0","0.06K","-0.11%"
"28/11/2025","91,030.0","91,385.0","93,000.0","90,326.0","0.61K","-0.39%"
"27/11/2025","91,385.0","90,585.0","91,990.0","90,188.0","0.37K","0.88%"
"26/11/2025","90,585.0","87,514.0","90,684.0","86,500.0","0.97K","3.50%"
"25/11/2025","87,519.0","88,471.0","88,602.0","86,300.0","0.89K","-1.08%"
"24/11/2025","88,471.0","87,008.0","89,348.0","85,500.0","1.40K","1.66%"
"23/11/2025","87,028.0","84,889.0","88,289.0","84,835.0","1.41K","2.52%"
"22/11/2025","84,890.0","85,355.0","85,766.0","83,680.0","0.49K","-0.54%"
"21/11/2025","85,355.0","86,803.0","87,647.0","80,843.0","2.98K","-1.63%"
"20/11/2025","86,773.0","91,648.0","93,125.0","86,260.0","2.06K","-5.32%"
"19/11/2025","91,648.0","93,186.0","93,193.0","88,888.0","2.96K","-1.67%"
"18/11/2025","93,200.0","92,553.0","93,989.0","89,635.0","3.19K","0.70%"
"17/11/2025","92,553.0","94,601.0","96,157.0","91,762.0","3.38K","-2.16%"
"16/11/2025","94,601.0","95,672.0","96,711.0","93,673.0","2.55K","-1.12%"
"15/11/2025","95,672.0","94,750.0","96,930.0","94,750.0","0.51K","0.97%"
"14/11/2025","94,750.0","99,839.0","99,920.0","94,469.0","4.80K","-5.11%"
"13/11/2025","99,855.0","101,750.0","104,000.0","98,138.0","1.66K","-1.86%"
"12/11/2025","101,750.0","103,190.0","105,340.0","100,880.0","1.19K","-1.40%"
"11/11/2025","103,190.0","106,010.0","107,500.0","102,660.0","0.98K","-2.66%"
"10/11/2025","106,010.0","104,780.0","106,610.0","104,360.0","0.60K","1.17%"
"09/11/2025","104,780.0","102,480.0","105,470.0","101,640.0","0.67K","2.24%"
"08/11/2025","102,480.0","103,390.0","103,390.0","101,630.0","0.68K","-0.88%"
"07/11/2025","103,390.0","101,400.0","104,100.0","99,459.0","1.50K","1.96%"
"06/11/2025","101,400.0","103,940.0","104,300.0","100,460.0","1.00K","-2.44%"
"05/11/2025","103,940.0","101,560.0","104,580.0","99,129.0","0.82K","2.27%"
"04/11/2025","101,630.0","106,790.0","107,460.0","99,092.0","2.30K","-4.81%"
"03/11/2025","106,770.0","110,710.0","110,850.0","105,500.0","1.89K","-3.57%"
"02/11/2025","110,720.0","110,290.0","111,360.0","109,650.0","0.24K","0.39%"
"01/11/2025","110,290.0","109,820.0","110,750.0","109,600.0","0.54K","0.43%"
"31/10/2025","109,820.0","108,500.0","111,270.0","108,490.0","1.03K","1.22%"
"30/10/2025","108,500.0","110,240.0","111,720.0","106,510.0","2.02K","-1.59%"
"29/10/2025","110,250.0","112,980.0","113,770.0","109,710.0","1.06K","-2.43%"
"28/10/2025","113,000.0","114,150.0","116,000.0","112,310.0","0.55K","-1.01%"
"27/10/2025","114,150.0","114,500.0","116,230.0","113,800.0","0.37K","-0.27%"
"26/10/2025","114,460.0","111,650.0","115,070.0","111,260.0","0.45K","2.52%"
"25/10/2025","111,650.0","111,110.0","111,960.0","110,810.0","0.15K","0.49%"
"24/10/2025","111,110.0","110,150.0","111,970.0","109,780.0","0.73K","0.87%"
"23/10/2025","110,150.0","107,720.0","111,270.0","107,570.0","0.76K","2.26%"
"22/10/2025","107,720.0","108,520.0","109,070.0","106,790.0","1.35K","-0.82%"
"21/10/2025","108,610.0","110,760.0","114,150.0","107,700.0","1.38K","-1.94%"
"20/10/2025","110,760.0","108,840.0","111,850.0","107,690.0","0.87K","1.76%"
"19/10/2025","108,840.0","107,410.0","109,680.0","106,370.0","0.96K","1.33%"
"18/10/2025","107,410.0","106,690.0","107,710.0","106,660.0","0.66K","0.67%"
"17/10/2025","106,700.0","108,410.0","109,480.0","103,790.0","1.75K","-1.57%"
"16/10/2025","108,400.0","110,920.0","112,140.0","107,710.0","1.67K","-2.27%"
"15/10/2025","110,920.0","113,270.0","113,820.0","110,410.0","1.01K","-2.07%"
"14/10/2025","113,270.0","115,390.0","115,630.0","110,170.0","2.42K","-1.84%"
"13/10/2025","115,390.0","115,230.0","116,120.0","113,960.0","1.11K","0.14%"
"12/10/2025","115,230.0","110,990.0","115,960.0","109,910.0","1.19K","3.83%"
"11/10/2025","110,980.0","112,830.0","113,720.0","109,830.0","1.38K","-1.94%"
"10/10/2025","113,170.0","121,760.0","122,660.0","104,920.0","2.48K","-7.05%"
"09/10/2025","121,760.0","123,410.0","123,750.0","119,810.0","0.56K","-1.34%"
"08/10/2025","123,410.0","121,480.0","124,220.0","121,270.0","0.43K","1.59%"
"07/10/2025","121,480.0","124,730.0","125,070.0","120,680.0","0.65K","-2.60%"
"06/10/2025","124,720.0","123,480.0","126,110.0","123,170.0","0.88K","1.00%"
"05/10/2025","123,480.0","122,350.0","125,660.0","122,130.0","0.91K","0.92%"
"04/10/2025","122,350.0","122,160.0","122,760.0","121,560.0","0.26K","0.16%"
"03/10/2025","122,160.0","120,570.0","123,890.0","119,340.0","0.73K","1.32%"
"02/10/2025","120,570.0","118,630.0","121,080.0","118,400.0","0.58K","1.60%"
"01/10/2025","118,670.0","114,020.0","118,810.0","113,950.0","0.84K","4.08%"
"30/09/2025","114,020.0","114,580.0","114,990.0","112,900.0","0.50K","-0.49%"
"29/09/2025","114,580.0","112,370.0","114,640.0","111,850.0","0.45K","1.97%"
"28/09/2025","112,370.0","109,940.0","112,620.0","109,500.0","0.93K","2.21%"
"27/09/2025","109,940.0","109,930.0","110,010.0","109,400.0","0.87K","0.01%"
"26/09/2025","109,930.0","109,180.0","110,520.0","108,940.0","1.31K","0.69%"
"25/09/2025","109,180.0","113,520.0","113,710.0","108,880.0","1.07K","-3.82%"
"24/09/2025","113,520.0","112,250.0","114,130.0","111,450.0","0.34K","1.13%"
"23/09/2025","112,250.0","112,810.0","113,490.0","111,710.0","0.58K","-0.50%"
"22/09/2025","112,810.0","115,460.0","115,550.0","112,100.0","1.20K","-2.30%"
"21/09/2025","115,460.0","115,840.0","115,970.0","115,440.0","0.19K","-0.33%"
"20/09/2025","115,840.0","115,830.0","116,300.0","115,620.0","0.02K","0.01%"
"19/09/2025","115,830.0","117,090.0","117,470.0","115,370.0","0.61K","-1.08%"
"18/09/2025","117,090.0","116,500.0","117,950.0","116,210.0","0.18K","0.51%"
"17/09/2025","116,500.0","116,840.0","117,360.0","114,880.0","0.17K","-0.29%"
"16/09/2025","116,840.0","115,580.0","117,080.0","114,910.0","0.26K","1.09%"
"15/09/2025","115,580.0","115,590.0","116,960.0","114,630.0","0.53K","-0.01%"
"14/09/2025","115,590.0","115,910.0","116,130.0","115,230.0","0.36K","-0.28%"
"13/09/2025","115,910.0","116,030.0","116,200.0","115,160.0","0.10K","-0.10%"
"12/09/2025","116,030.0","115,400.0","116,610.0","114,690.0","0.15K","0.55%"
"11/09/2025","115,400.0","113,900.0","115,400.0","113,420.0","0.20K","1.32%"
"10/09/2025","113,900.0","111,540.0","114,290.0","111,170.0","0.44K","2.12%"
"09/09/2025","111,540.0","112,050.0","113,190.0","110,750.0","0.16K","-0.46%"
"08/09/2025","112,050.0","111,220.0","112,830.0","110,740.0","0.17K","0.75%"
"07/09/2025","111,220.0","110,270.0","111,610.0","110,230.0","0.21K","0.90%"
"06/09/2025","110,230.0","110,600.0","111,190.0","110,220.0","0.87K","-0.33%"
"05/09/2025","110,600.0","110,880.0","113,520.0","110,410.0","0.28K","-0.25%"
"04/09/2025","110,880.0","111,890.0","112,330.0","109,520.0","0.21K","-0.90%"
"03/09/2025","111,890.0","111,360.0","112,710.0","110,750.0","0.11K","0.48%"
"02/09/2025","111,350.0","109,410.0","111,930.0","108,630.0","0.43K","1.77%"
"01/09/2025","109,410.0","108,420.0","110,010.0","107,380.0","0.47K","0.95%"
"31/08/2025","108,380.0","109,000.0","109,680.0","108,250.0","0.39K","-0.57%"
"30/08/2025","109,000.0","108,530.0","109,120.0","107,550.0","0.51K","0.43%"
"29/08/2025","108,530.0","112,740.0","112,780.0","107,660.0","0.63K","-3.73%"
